,Name,Latitude,Longitude,International Airport: Name,International Airport: Distance,Train station: Name,Train station: Distance,Nightclub: Name,Nightclub: Distance,Pet grooming: Name,Pet grooming: Distance,Vegan restaurant: Name,Vegan restaurant: Distance,Basketball stadium: Name,Basketball stadium: Distance,Design studio: Name,Design studio: Distance,Daycare: Name,Daycare: Distance,Preschool: Name,Preschool: Distance,High school: Name,High school: Distance
60,Vimeo,40.7453721,-74.0078293,John F. Kennedy International Airport (JFK),21858,Moynihan Train Hall,1252,Village Vanguard,1173,BeastyFeast,645,Sweetgreen,1617,Stuyvesant Town Basketball Courts,2785,Rivington Design House,2927,West Village Nursery S,860,Williamsburg Northside Preschool,5233,Fiorello H. LaGuardia High School,3720
61,Jango,40.757929,-73.985506,John F. Kennedy International Airport (JFK),21061,Moynihan Train Hall,1103,Birdland,364,BeastyFeast,2486,Sweetgreen,2259,Stuyvesant Town Basketball Courts,2878,Rivington Design House,4221,Pierce Country Day School Camp,28140,Williamsburg Northside Preschool,5121,Fiorello H. LaGuardia High School,1791
62,Motionbox,40.606061,-73.822331,John F. Kennedy International Airport (JFK),5381,Moynihan Train Hall,21711,Indoors at Nowadays,11734,BeastyFeast,21376,Trinciti Roti Shop & Restaurant,8251,Rucker Park Basketball Courts,26635,Rivington Design House,19381,Friedberg JCC,15902,Williamsburg Northside Preschool,16819,Townsend Harris High S,14310
63,Dotsub,40.7680901,-73.9566761,John F. Kennedy International Airport (JFK),19920,Moynihan Train Hall,3738,As Is NYC,2970,BeastyFeast,5024,Sweetgreen,4426,Rucker Park Basketball Courts,7038,Rivington Design House,6201,Pierce Country Day School Camp,25584,Williamsburg Northside Preschool,5727,Fiorello H. LaGuardia High School,2474
64,WeShow,40.752516,-73.973072,John F. Kennedy International Airport (JFK),19862,Moynihan Train Hall,1852,Birdland,1566,BeastyFeast,2921,Sweetgreen,2217,Stuyvesant Town Basketball Courts,2296,Rivington Design House,4010,Pierce Country Day School Camp,27204,Williamsburg Northside Preschool,4174,Fiorello H. LaGuardia High School,2595
65,Major League Gaming,40.752672,-73.97593,John F. Kennedy International Airport (JFK),20066,Moynihan Train Hall,1614,Birdland,1347,BeastyFeast,2718,Sweetgreen,2072,Stuyvesant Town Basketball Courts,2269,Rivington Design House,3918,Pierce Country Day School Camp,27438,Williamsburg Northside Preschool,4267,Fiorello H. LaGuardia High School,2495
66,CollegeClickTV,40.7495594,-73.9916617,John F. Kennedy International Airport (JFK),20952,Moynihan Train Hall,326,Birdland,1059,BeastyFeast,1446,Sweetgreen,1278,Stuyvesant Town Basketball Courts,2161,Rivington Design House,3222,Pierce Country Day School Camp,28803,Williamsburg Northside Preschool,4599,Fiorello H. LaGuardia High School,2778
67,Qtrax,40.748641,-73.981947,John F. Kennedy International Airport (JFK),20217,Moynihan Train Hall,1130,Birdland,1316,BeastyFeast,2060,Sweetgreen,1411,Stuyvesant Town Basketball Courts,1812,Rivington Design House,3309,Pierce Country Day School Camp,28017,Williamsburg Northside Preschool,4067,Fiorello H. LaGuardia High School,2835
68,Gawker Media,40.757929,-73.985506,John F. Kennedy International Airport (JFK),21061,Moynihan Train Hall,1103,Birdland,364,BeastyFeast,2486,Sweetgreen,2259,Stuyvesant Town Basketball Courts,2878,Rivington Design House,4221,Pierce Country Day School Camp,28140,Williamsburg Northside Preschool,5121,Fiorello H. LaGuardia High School,1791
69,RayV,40.781159,-73.978332,John F. Kennedy International Airport (JFK),22243,Moynihan Train Hall,3625,As Is NYC,2147,BeastyFeast,5013,Peacefood Cafe,470,Rucker Park Basketball Courts,6426,Rivington Design House,6872,Pierce Country Day School Camp,27272,Williamsburg Northside Preschool,7366,Fiorello H. LaGuardia High School,969
70,Boonty,40.717248,-74.002662,John F. Kennedy International Airport (JFK),20047,Moynihan Train Hall,3813,The Up and Up,1402,BeastyFeast,2574,Metrograph,1010,Stuyvesant Town Basketball Courts,2579,Rivington Design House,708,Chinatown Day Care Center,685,Williamsburg Northside Preschool,3706,Fiorello H. LaGuardia High School,6484
71,Paramount Pictures,40.7577017,-73.9858165,John F. Kennedy International Airport (JFK),21067,Moynihan Train Hall,1067,Birdland,349,BeastyFeast,2450,Sweetgreen,2229,Stuyvesant Town Basketball Courts,2857,Rivington Design House,4191,Pierce Country Day School Camp,28170,Williamsburg Northside Preschool,5110,Fiorello H. LaGuardia High School,1817
72,Booyah,37.420728,-122.2103414,San Francisco International Airport (SFO),26777,Mountain View Caltrain Station,12188,The Swingin' Door,16127,Wag Hotels Redwood City,7791,Sweetgreen,5108,Sports House Indoor Sports and Cafe,6246,Facebook Analog Research Laboratory,8858,The Creative Learning Loft,5716,New Beginnings Preschool,3470,Burlingame High School,21599
73,GotGame,37.77772,-122.395785,San Francisco International Airport (SFO),17902,2nd & King MUNI Metro Station,532,Oasis,1758,Pet Food Express,4567,Sweetgreen,1089,Berry Basketball Courts,672,BoxShop,5229,Apple Tree Children's Center,1438,Apple Tree Preschool,826,St Ignatius College Preparatory School,9379
74,Mondo Media,37.764169,-122.402021,San Francisco International Airport (SFO),16433,MUNI Metro Stop - 3rd & 20th St,1237,Oasis,1391,Pet Food Express,4670,Sweetgreen,2583,Berry Basketball Courts,932,BoxShop,4103,Apple Tree Children's Center,1143,Presidio Knolls School,1431,St Ignatius College Preparatory School,8422
75,Fliggo,37.775196,-122.419204,San Francisco International Airport (SFO),17831,Van Ness Station,11,Oasis,553,Pet Food Express,2741,Sweetgreen,2249,Berry Basketball Courts,1903,BoxShop,5983,Love & Learn Nursery School,438,Presidio Knolls School,538,St Ignatius College Preparatory School,7371
76,Heyzap,37.7905538,-122.4041485,San Francisco International Airport (SFO),19371,Cable Car Stop Stockton & California,353,Oasis,2256,Pet Food Express,3720,Sweetgreen,606,Berry Basketball Courts,2142,BoxShop,6819,Bright Horizons at 1700 Montgomery Street,1634,Seabird Preschool,803,St Ignatius College Preparatory School,9334
77,Sticher,37.8093381,-122.4166061,San Francisco International Airport (SFO),21557,F- Streetcar First Stop- Beach & Jones,225,Oasis,4159,Pet Food Express,3570,Sweetgreen,2916,Berry Basketball Courts,4470,BoxShop,9163,Bright Horizons at 1700 Montgomery Street,1134,Seabird Preschool,1556,St Ignatius College Preparatory School,9742
78,Unity Technologies,55.6924605,12.530107,,,Copenhagen Central Station (ZGH) (Københavns Hovedbanegård),3128,Culture Box,3434,Trenddog,3183,Baka D’Busk,1219,StreetMekka,3474,Studio Arhoj,3153,Diakonissens Børnehus Marthagården,1701,Grønnebakken,1286,VUF Lollandsvej,764
79,Indee,37.8053241,-122.4052761,San Francisco International Airport (SFO),21015,MUNI Metro Stop - Embarcadero & Bay,189,Oasis,3794,Pet Food Express,4118,Sweetgreen,2090,Berry Basketball Courts,3768,BoxShop,8403,Bright Horizons at 1700 Montgomery Street,45,Seabird Preschool,931,St Ignatius College Preparatory School,10189
80,SonicLiving,37.8448035,-122.290897,San Francisco International Airport (SFO),26712,Emeryville Amtrak,489,Sláinte,5568,Wag Hotels Oakland,6149,Sweetgreen,3776,Berry Basketball Courts,12406,BoxShop,14512,The Model School Comprehensive,2836,Guidepost Montessori at Emeryville,83,St Ignatius College Preparatory School,20960
81,TubeSpree,37.781386,-122.421406,San Francisco International Airport (SFO),18541,Van Ness Station,704,Oasis,1214,Pet Food Express,2288,Sweetgreen,2103,Berry Basketball Courts,2315,BoxShop,6646,Love & Learn Nursery School,1082,Montessori House Of Children,468,St Ignatius College Preparatory School,7512
82,Overstream,37.791391,-122.402859,San Francisco International Airport (SFO),19455,Cable Car Stop Stockton & California,423,Oasis,2387,Pet Food Express,3842,Sweetgreen,590,Berry Basketball Courts,2207,BoxShop,6868,Bright Horizons at 1700 Montgomery Street,1549,Seabird Preschool,775,St Ignatius College Preparatory School,9479
83,Brightstorm,37.804619,-122.371203,San Francisco International Airport (SFO),20921,MUNI Metro Stop - Embarcadero & Folsom,2253,Oasis,5252,Pet Food Express,6868,Sweetgreen,3085,Berry Basketball Courts,4326,BoxShop,7954,Bright Horizons at 1700 Montgomery Street,2947,Seabird Preschool,3317,St Ignatius College Preparatory School,12620
84,Rupture,37.783898,-122.395234,San Francisco International Airport (SFO),18586,2nd & King MUNI Metro Station,671,Oasis,2146,Pet Food Express,4503,Sweetgreen,478,Berry Basketball Courts,1352,BoxShop,5869,Apple Tree Children's Center,1881,Apple Tree Preschool,1163,St Ignatius College Preparatory School,9688
85,Crunchyroll,37.781265,-122.393229,San Francisco International Airport (SFO),18288,2nd & King MUNI Metro Station,342,Oasis,2130,Pet Food Express,4712,Sweetgreen,818,Berry Basketball Courts,1118,BoxShop,5540,Apple Tree Children's Center,1831,Apple Tree Preschool,1151,St Ignatius College Preparatory School,9733
86,Mevio,37.782263,-122.392142,San Francisco International Airport (SFO),18396,2nd & King MUNI Metro Station,363,Oasis,2268,Pet Food Express,4792,Sweetgreen,796,Berry Basketball Courts,1257,BoxShop,5623,Apple Tree Children's Center,1972,Apple Tree Preschool,1285,St Ignatius College Preparatory School,9864
87,DanceJam,37.781557,-122.407959,San Francisco International Airport (SFO),18404,Cable Car Stop Mason & California,1132,Oasis,1209,Pet Food Express,3431,Sweetgreen,1035,Berry Basketball Courts,1387,BoxShop,6040,Apple Tree Children's Center,1084,Apple Tree Preschool,567,St Ignatius College Preparatory School,8565
88,Kongregate,37.786942,-122.401245,San Francisco International Airport (SFO),18952,Embarcadero MUNI Metro Station,784,Oasis,2029,Pet Food Express,3959,Sweetgreen,231,Berry Basketball Courts,1695,BoxShop,6354,Apple Tree Children's Center,1847,Apple Tree Preschool,1161,St Ignatius College Preparatory School,9362
89,IODA,37.780134,-122.396744,San Francisco International Airport (SFO),18174,2nd & King MUNI Metro Station,587,Oasis,1800,Pet Food Express,4428,Sweetgreen,809,Berry Basketball Courts,919,BoxShop,5510,Apple Tree Children's Center,1506,Apple Tree Preschool,818,St Ignatius College Preparatory School,9400
90,PlayFirst,37.790346,-122.40185,San Francisco International Airport (SFO),19333,Embarcadero MUNI Metro Station,531,Oasis,2323,Pet Food Express,3919,Sweetgreen,444,Berry Basketball Courts,2077,BoxShop,6729,Bright Horizons at 1700 Montgomery Street,1676,Seabird Preschool,921,St Ignatius College Preparatory School,9497
91,Metacafe,37.437328,-122.159928,San Francisco International Airport (SFO),28251,Mountain View Caltrain Station,8811,The Ritz,26983,Wag Hotels Redwood City,7859,Sweetgreen,824,Sports House Indoor Sports and Cafe,5771,Facebook Analog Research Laboratory,5277,Love N Care Christian Preschool & Daycare,2408,Bing Nursery School,1675,Burlingame High School,23022
92,hi5,37.788668,-122.400558,San Francisco International Airport (SFO),19139,Embarcadero MUNI Metro Station,588,Oasis,2221,Pet Food Express,4021,Sweetgreen,230,Berry Basketball Courts,1876,BoxShop,6515,Bright Horizons at 1700 Montgomery Street,1879,Seabird Preschool,1139,St Ignatius College Preparatory School,9505
